result,times
1 - 1,32477
1 - 0,30825
2 - 1,24972
0 - 0,22714
0 - 1,21728
2 - 0,21609
1 - 2,18590
2 - 2,13839
0 - 2,12955
3 - 0,12645
3 - 1,12489
1 - 3,7876
3 - 2,7487
0 - 3,6798
4 - 0,5782
2 - 3,5711
4 - 1,5375
1 - 4,2954
4 - 2,2909
3 - 3,2907
0 - 4,2692
5 - 0,2469
5 - 1,2064
2 - 4,1981
4 - 3,1200
0 - 5,1131
5 - 2,1125
1 - 5,1106
6 - 0,1031
3 - 4,917
6 - 1,784
2 - 5,678
7 - 0,457
0 - 6,446
1 - 6,389
4 - 4,386
6 - 2,379
5 - 3,379
7 - 1,287
3 - 5,246
8 - 0,195
0 - 7,191
2 - 6,182
1 - 7,131
6 - 3,128
7 - 2,118
5 - 4,118
8 - 1,116
4 - 5,115
3 - 6,97
9 - 0,94
0 - 8,76
2 - 7,63
1 - 8,47
8 - 2,44
7 - 3,44
0 - 9,42
9 - 1,40
6 - 4,39
5 - 5,29
4 - 6,26
3 - 7,26
9 - 2,22
2 - 8,18
10 - 0,16
1 - 9,16
7 - 4,13
5 - 6,12
8 - 3,11
6 - 5,10
0 - 10,8
5 - 7,8
4 - 7,8
9 - 3,7
3 - 8,7
12 - 0,5
11 - 0,5
2 - 9,5
8 - 4,4
10 - 2,3
6 - 6,3
0 - 11,3
10 - 1,3
2 - 11,2
13 - 1,2
4 - 8,2
14 - 0,2
13 - 0,2
2 - 10,1
1 - 10,1
11 - 1,1
12 - 1,1
1 - 13,1
6 - 7,1
9 - 5,1
5 - 8,1
7 - 5,1
1 - 12,1
16 - 0,1
0 - 15,1
1 - 11,1
11 - 2,1
3 - 10,1
0 - 12,1
7 - 8,1
5 - 9,1
7 - 7,1
7 - 6,1
14 - 1,1
15 - 0,1
9 - 4,1
